Nom;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code(s) UIC
Campagnac - Saint-Geniez;CNT;C;44.4219559, 3.0664008;12047;87783340
Cannes;CAN;A;43.553839, 7.019682;6029;87757625
Cannes La Bocca;CAB;B;43.548787, 6.986601;6029;87757617
Cantin;CNK;C;50.3124545, 3.121943;59126;87345413
Cap-d'Ail;KAI;C;43.7205382, 7.3943362;6032;87756395
Capdenac;CDC;B;44.5782458, 2.0779632;12052;87613109
Capvern;CPN;C;43.1033454, 0.3296393;65127;87671156
Carbonne;COA;B;43.298206, 1.212531;31107;87611061
Carcassonne;CNE;A;43.218029, 2.351824;11069;87615286
Carentan;CAR;B;49.302482, -1.244938;50099;87447243
Carhaix-Plouguer;CRX;C;48.2780022, -3.5622173;29024;87473504
Carignan;CAG;C;49.6285736, 5.1684754;8090;87172353
Carmaux;CMX;C;44.048782, 2.152401;81060;87615625
Carnoles;KRL;B;43.76203, 7.48139;6104;87756478
Carnoules;CNS;C;43.2974104, 6.1862531;83033;87755371
Carpentras;IIM;B;44.0499488, 5.044141;84031;87765735
Carry-le-Rouet;CRR;C;43.336592, 5.153594;13021;87753566
Casino Lacroix Laval;CCL;C;45.7878115, 4.7309383;69250;87208553
Cassel;CRD;C;50.7875916, 2.4599722;59054;87281139
Cassis;CSI;B;43.23406, 5.553055;13022;87751776
Castelnau-d'Estrétefonds;CDF;B;43.786196, 1.341761;31118;87611665
Castelnaudary;CTY;B;43.312292, 1.95039;11076;87615039
Castelsarrasin;CTN;C;44.0403503, 1.1143954;82033;87611897
Castillon-la-Bataille;CIO;B;44.856999, -0.04066;33108;87584136
Castres;CTR;B;43.599131, 2.231223;81065;87615468
Cattenières;CTT;C;50.1280738, 3.3337877;59138;87345587
Caudéran Mérignac;CUD;C;44.84288, -0.6274337;33063;87581538
Caudrot;KDT;C;44.5801152, -0.1452784;33111;87582841
Caudry;CAU;C;50.11146, 3.40983;59139;87345561
Caulnes;CUL;C;48.2844264, -2.155593;22032;87473066
Caussade;CSD;C;44.1622668, 1.5336541;82037;87613356
Cavaillon;CVN;B;43.834554, 5.043613;84035;87765503
Cavignac;CGC;C;45.105163, -0.382243;33114;87491217
Cazères;CZG;B;43.212834, 1.083106;31135;87611079
Ceilhes - Roqueredonde;COQ;C;43.8122656, 3.1551583;34233;87781542
Cenon;CBX;B;44.8563465, -0.5336487;33119;87581595
Cerbère;CER;C;42.4417732, 3.1634033;66048;87785006
Cercottes;CCT;C;47.9861553, 1.8849813;45062;87543033
Cercy-la-Tour;CLT;C;46.8578816, 3.6452029;58046;87696492
Cergy le Haut;CJV;B;49.0484932, 2.0118725;95127;87382655
Cergy Préfecture;CYP;B;49.03639, 2.07982;95127;87381905
Cergy Saint-Christophe;CYC;B;49.0496151, 2.0343975;95127;87382499
Cerizay;CEZ;C;46.8176878, -0.6689931;79062;87487280
Cernay (Haut-Rhin);CEF;B;47.802, 7.1737;68063;87182410
Cernay (Val-d'Oise);CEJ;B;48.98539, 2.2568;95219;87276063
Cérons;CGD;B;44.632346, -0.340526;33120;87582742
Cessieu;CIU;C;45.5611596, 5.3761179;38064;87723452
Cesson;CES;B;48.56563, 2.5938;77067;87682161
Cesson-Sévigné;CGT;B;48.11281, -1.60211;35051;87334490
Ceyzériat;CZR;C;46.1834877, 5.3258417;1072;87743302
Chabenet;CBQ;C;46.6265259, 1.5076773;36161;87597112
Châbons;CKN;C;45.4383566, 5.4281009;38065;87747212
Chabris;CGY;C;47.2549836, 1.6459424;36034;87576223
Chagny;CHY;B;46.907269, 4.749682;71073;87713578
Chaingy Fourneaux Plage;CFX;C;47.8770705, 1.782422;45067;87574111
Chalais;CIC;C;45.2708327, 0.0435966;16073;87583690
Challans;CLS;B;46.843962, -1.871879;85047;87481390
Chalon-sur-Saône;CSS;B;46.781612, 4.843454;71076;87725002
Chalonnes-sur-Loire;CCE;B;47.34306, -0.74306;49063;87484204
Châlons-en-Champagne;CMP;B;48.955252, 4.348656;51108;87174003
Chamalières-sur-Loire;CML;C;45.2047385, 3.9909202;43049;87734731
Chamarande;CHK;B;48.514244, 2.215854;91132;87545152
Chambéry - Challes-les-Eaux;CRL;A;45.571302, 5.919547;73065;87741009
Chambly;CVK;B;49.16362, 2.24048;60139;87276725
Chamborigaud;CBO;C;44.3002429, 3.9793332;30080;87775221
Chambourg-sur-Indre;CMG;C;47.1821629, 0.9648363;37049;87571463
Chamelet;CWE;C;45.9816414, 4.5069346;69039;87721829
Chamonix Aiguille du Midi;CHW;C;45.91993, 6.8667152;74056;87462085
Chamonix-Mont-Blanc;CHX;B;45.92277, 6.87363;74056;87746784
Chamousset;CSK;C;45.5575744, 6.2067432;73068;87741231
Champ de Courses d'Enghien;CEG;B;48.97975, 2.29189;95598;87276030
Champ de Mars Tour Eiffel;CPM;B;48.8551134, 2.2892141;75115;87393058
Champagné;CGZ;C;48.0197118, 0.3352253;72054;87396275
Champagne-Ardenne TGV;CGV;A;49.214806, 3.994632;51058;87171926
Champagne-sur-Oise;CPI;B;49.13573, 2.24156;95134;87276519
Champagne-sur-Seine;CME;B;48.406531, 2.799184;77079;87682450
Champagney;CPY;C;47.7031399, 6.7012773;70120;87185348
Champagnole;CPG;C;46.7492981, 5.9100314;39097;87715326
Champagnole Paul-Émile Victor;PVT;C;46.742483, 5.9198128;39097;87352047
Champbenoist - Poigny;CPK;B;48.545567, 3.287434;77368;87115873
Champigneulles;CHG;C;48.73499, 6.16913;54115;87141085
Champigny sur Yonne;CSY;C;48.3237418, 3.1305718;89074;87683128
Champlan;CPL;B;48.70804, 2.28073;91136;87725457
Champs - Saint-Bris;CAI;C;47.7388182, 3.6034756;89077;87683615
Champtocé-sur-Loire;CWL;C;47.4102457, -0.8685747;49068;87484352
Chanac;CNA;C;44.4739786, 3.3454117;48056;87783530
Changis - Saint-Jean;CJN;B;48.95936, 3.025394;77084;87116509
Chanteloup-les-Vignes;CVF;B;48.97095, 2.02771;78138;87381475
Chantenay;CHA;C;47.1971227, -1.5943634;44109;87481051
Chantenay-Saint-Imbert;CXI;C;46.7283203, 3.1720842;58057;87696302
Chantilly - Gouvieux;CLY;B;49.18724, 2.45979;60141;87276113
Chantonnay;CTO;C;46.6898472, -1.0544144;85051;87486332
Chapeauroux;CPX;C;44.8380008, 3.741923;48139;87734343
Chaponost;CPT;C;45.6984889, 4.7643014;69043;87722710
Chaponval;CPW;C;49.0694825, 2.1423781;95039;87276162
Charbonnières-les-Bains;CRB;B;45.782142, 4.735912;69044;87721530
Charleville-Mézières;CMZ;B;49.767915, 4.724952;8105;87172007
Charmes;CHS;B;48.378483, 6.301537;88090;87144055
Chars;CHR;B;49.16268, 1.93671;95142;87381194
Chartres;CHH;B;48.4482023, 1.4813128;28085;87394007
Chartrettes;CJR;C;48.4870771, 2.6950059;77096;87682419
Chasse-sur-Rhône;CSR;B;45.58237, 4.794843;38087;87722561
Chasseneuil-du-Poitou;CHN;C;46.6517702, 0.3730275;86062;87575225
Chasseradès;CJD;C;44.5539847, 3.8399319;48040;87775148
Château-Arnoux-Saint-Auban;SAU;C;44.0615651, 5.9973734;4049;87751230
Château-du-Loir;CDL;C;47.683392, 0.414912;72071;87396606
Château-Gaillard;CGK;C;48.1416904, 1.9128148;28367;87543066
Château-l'Évêque;CEQ;C;45.2445887, 0.6882106;24115;87595165
Château-Renault;CTI;C;47.5877961, 0.9015238;37063;87574665
Château-Thierry;CTH;B;49.038224, 3.409514;2168;87116582
Châteaubourg;CTG;B;48.106361, -1.405159;35068;87471524
Châteaudun;CUN;B;48.073463, 1.338133;28088;87545756
Châteaulin;CEM;C;48.2016033, -4.094308;29026;87474064
Châteauneuf - Bujaleuf;CBF;C;45.759316, 1.6453027;87105;87592105
Châteauneuf-sur-Charente;CSC;C;45.599836, -0.0502;16090;87491506
Châteauneuf-sur-Cher;CHC;C;46.8568144, 2.3103826;18058;87576298
Châteauroux;CTX;B;46.809737, 1.699536;36044;87597005
Châtel - Nomexy;CEO;B;48.307156, 6.387807;88327;87144071
Châtel-Censoir;CAL;C;47.5377695, 3.6350455;89091;87696856
Châtelaillon-Plage;CTL;C;46.0783303, -1.0908909;17094;87485110
Châtelaudren - Plouagat;CDN;C;48.5332189, -2.9746782;22206;87473140
Châtellerault;CRT;B;46.818594, 0.549279;86066;87575142
Châtillon d'Azergues;CDZ;C;45.8751815, 4.6451164;3069;87721753
Chauffailles;CHF;C;46.2074552, 4.3454278;71120;87694778
Chaugey;CFJ;C;47.0872036, 5.2551914;21356;87712679
Chaulnes;CHL;C;49.8076201, 2.8011421;80186;87313478
Chaumont;CHM;B;48.10976, 5.1346;52121;87142000
Chaumont-en-Vexin;CEV;B;49.26139, 1.87274;60143;87381228
Chauny;CNY;B;49.61119, 3.22354;2173;87296616
Chaux-des-Crotenay;LXR;C;46.6545926, 5.9438595;39129;87715383
Chaville - Vélizy;CHV;B;48.7998005, 2.1845267;78686;87393173
Chaville Rive Droite;CWJ;B;48.81213, 2.18785;92022;87382333
Chaville Rive Gauche;CVI;B;48.8047497, 2.1882472;92022;87393207
Chazay - Marcilly;CZM;C;45.8729618, 4.7252221;69125;87721415
Chedde;CED;C;45.9263464, 6.7197662;74208;87746701
Cheilly-lès-Maranges;CJL;C;46.8924768, 4.6758424;71122;87694398
Chelles - Gournay;CSG;B;48.874128, 2.582484;77108;87116111
Chemillé-en-Anjou;CHE;B;47.217748, -0.731989;49092;87484246
Chemilly - Appoigny;CAP;C;47.8972366, 3.5543936;89096;87683532
Chemin d'Antony;CHQ;B;48.748143, 2.3126207;92002;87546317
Chenevières;CKY;C;48.5195062, 6.6325613;54125;87141382
Chenonceaux;CQH;C;47.330554, 1.0661;37073;87574491
Cherbourg-en-Cotentin;CBU;B;49.633505, -1.621515;50129;87444877
Chessy;CZI;C;45.885545, 4.6222625;69056;87721761
Chevaigné;CWH;C;48.2089042, -1.6307622;35079;87471458
Chevillon;CIN;C;48.5245505, 5.1117843;52123;87175117
Chevilly;CVY;C;48.0266215, 1.8793013;45093;87543041
Chevrières;CGB;C;49.3373064, 2.6828025;60149;87276311
Chézy-sur-Marne;CYZ;C;48.9919109, 3.3644624;2186;87116574
Chilly-Mazarin;CAZ;B;48.7004413, 2.3081837;91161;87393637
Chindrieux;CWX;C;45.8034376, 5.8468876;73085;87741116
Chinon;CHI;B;47.163047, 0.251538;37072;87571687
Chirac;CAC;C;44.5246607, 3.2638181;48049;87783290
Chissay-en-Touraine;CXT;C;47.3349004, 1.1333044;41051;87574848
Chocques;CRG;C;50.5382038, 2.564749;62224;87342220
Choisy-le-Roi;CLR;B;48.763974, 2.411102;94022;87545285
Cholet;CHT;B;47.065698, -0.869583;49099;87484303
Chorges;CHO;C;44.5458415, 6.2718887;5040;87763425
Chouzy-sur-Cisse;CZV;C;47.5203249, 1.247846;41055;87574301
Cinq-Mars-la-Pile;CQM;B;47.3452264, 0.4604878;37077;87571836
Cintegabelle;CBT;C;43.3054202, 1.5204268;31145;87611376
Cires-lès-Mello;CIW;C;49.2717956, 2.3601903;60155;87313551
Ciry-le-Noble;CYL;C;46.6040913, 4.2997146;71132;87694646
Civrieux-d'Azergues;CZK;C;45.8591831, 4.7182413;69059;87721746
Cize - Bolozon;CZQ;C;46.2134803, 5.4540677;1051;87743344
Clacy - Mons;ONS;C;49.5439229, 3.5766816;2196;87296178
Clamart;CMA;B;48.813844, 2.2733273;92023;87391565
Clamecy;CLA;C;47.4666984, 3.5207672;58079;87696807
Clelles - Mens;CMS;C;44.8272443, 5.6050622;38113;87747626
Clères;CRS;B;49.598964, 1.106184;76179;87411819
Clermont de l'Oise;CDO;B;49.38531, 2.41767;60157;87313304
Clermont La Pardieu;COP;B;45.766947, 3.134163;63113;87782607
Clermont La Rotonde;RTD;C;45.7680954, 3.0909704;63113;87396895
Clermont-Ferrand;CLF;A;45.778945, 3.100543;63113;87734004
Clerval;CVL;C;47.3966577, 6.4920574;25156;87184622
Clichy - Levallois;CLL;B;48.89678, 2.2982;75117;87381129
Clisson;CLI;B;47.086142, -1.286172;44043;87481440
Cloyes-sur-le-Loir;CLO;C;47.9921032, 1.2433542;28103;87574509
Cluses;CLU;B;46.061447, 6.582663;74081;87746370
Coarraze - Nay;CZN;C;43.1818351, -0.2416429;64191;87672139
Cognac;COG;C;45.684682, -0.326112;16102;87491449
Coignières;CGW;B;48.7437672, 1.920809;78168;87393272
Collioure;COX;C;42.5269437, 3.0782319;66053;87784256
Collonges - Fontaines;COF;C;45.8291102, 4.8466136;69063;87721225
Collonges-lès-Premières;CLG;C;47.2212533, 5.2653478;21183;87713321
Colmar;CMR;B;48.073201, 7.346967;68066;87182014
Colmar Mésanges;CXM;C;48.0860048, 7.3336703;68066;87402297
Colmar Saint-Joseph;CXJ;C;48.0816399, 7.3453397;68066;87181222
Colombes;CBK;B;48.92383, 2.25939;92025;87381087
Colombier-Fontaine;CFT;C;47.4554849, 6.6890071;25159;87184556
Colomiers;COL;B;43.603734, 1.334221;31149;87611467
Colomiers Lycée International;LYF;B;43.6163055, 1.3141157;31149;87611921
Combourg;CUG;B;48.41609, -1.72792;35085;87478057
Combs-la-Ville - Quincy;CBV;B;48.667179, 2.547798;77122;87682146
Commentry;CMY;C;46.295102, 2.739949;3082;87641415
Commercy;CCY;B;48.765749, 5.58861;55122;87175257
Compans;COJ;C;48.9915767, 2.6652718;77123;87272047
Compiègne;CPE;B;49.422005, 2.823679;60382;87276691
Conches-en-Ouche;CCH;C;48.9623603, 0.9378895;27165;87387159
Condat - Le Lardin;CDT;C;45.1267128, 1.2267493;24229;87594382
Condé-sur-Huisne;CDH;C;48.3834826, 0.8487023;61116;87394288
Conflans - Jarny;CJJ;C;49.1662895, 5.8681853;54273;87192666
Conflans Fin d'Oise;CFD;B;48.98931, 2.07465;78172;87381459
Conflans-Sainte-Honorine;CSH;B;48.99646, 2.09783;78172;87381897
Conlie;CIE;C;48.1272909, -0.0113736;72089;87396218
Connerré - Beillé;COB;C;48.0735, 0.48687;72031;87396309
Contrexéville;CXC;C;48.1796129, 5.890633;88114;87144287
Corbehem;COR;C;50.3428545, 3.0405375;62240;87345116
Corbeil-Essonnes;COE;B;48.61403, 2.47401;91174;87681007
Corbie;CBI;B;49.9116183, 2.4996846;80212;87313056
Corbigny;CBY;C;47.254807, 3.6773226;58083;87696617
Corcy;CKX;C;49.2550929, 3.2157221;2216;87272286
Cordemais;CDQ;C;47.3021502, -1.8466771;44045;87481820
Cordes - Vindrac;VDC;C;44.067189, 1.900229;81320;87613802
Corgoloin;CGO;C;47.0841982, 4.9171231;21194;87713537
Cormeilles-en-Parisis;CPA;B;48.96864, 2.19358;95176;87381863
Cormery;CEY;C;47.26254, 0.833953;37083;87571430
Cornil;CIL;C;45.2151758, 1.6978482;19061;87594481
Coron de Méricourt;CQW;C;50.4150048, 2.8854084;62570;87345132
Corps-Nuds;CPS;C;47.9851669, -1.5754724;35088;87471326
Corrèze;CZE;C;45.3294801, 1.8810793;19236;87594119
Corseul - Languenan;CFA;C;48.4960574, -2.1414331;22105;87478180
Cosne-Cours-sur-Loire;COS;B;47.413996, 2.931981;58086;87696146
Coucy-lès-Eppes;CCP;C;49.556282, 3.7748209;2218;87171769
Coudekerque-Branche;CDK;C;51.0177069, 2.3751425;59155;87281402
Couëron;CNQ;C;47.2220412, -1.7235014;44047;87481804
Couffoulens - Leuc;CFW;C;43.1555365, 2.3161754;11102;87615120
Couilly - Saint-Germain - Quincy;CYQ;C;48.8830205, 2.854057;77413;87116731
Coulanges-sur-Yonne;CAO;C;47.5270546, 3.5472388;89129;87696831
Coulommiers;CQU;B;48.808006, 3.08225;77131;87116301
Courbevoie;KOU;B;48.89831, 2.24804;92026;87382200
Courcay - Tauxigny;KYY;C;47.2377076, 0.867867;37085;87571448
Courcelles-le-Comte;COK;C;50.1694124, 2.7880351;62248;87342063
Courcelles-sur-Nied;CCD;C;49.0634035, 6.3109926;57156;87192211
Courcy - Brimont;CIM;C;49.3296003, 4.0134623;51183;87171710
Coursan;KOS;C;43.23369, 3.0510465;11106;87781161
Courtalain - Saint-Pellerin;CWP;C;48.0735988, 1.1270043;28356;87394494
Courthézon;CTZ;C;44.0899478, 4.8881802;84039;87765180
Courville-sur-Eure;CVB;B;48.451236, 1.234836;28116;87394221
Cousance;CSJ;C;46.5353569, 5.3868216;39173;87718270
Coutances;CCS;B;49.042928, -1.441726;50147;87447110
Coutras;COU;B;45.03661, -0.13169;33138;87584516
Couzon-au-Mont-d'Or;KMD;C;45.8486737, 4.8294786;69068;87721241
Cramoisy;CYO;C;49.256625, 2.40489;60173;87313544
Cransac;CRZ;C;44.522951, 2.2718666;12083;87613232
Cravant - Bazarnes;CBZ;C;47.6785079, 3.6811741;89030;87683649
Crêches-sur-Saône;KSA;C;46.2461762, 4.7840233;71150;87725713
Crécy-la-Chapelle;CLC;B;48.859391, 2.905748;77142;87116772
Creil;CLH;B;49.263757, 2.4692439;60175;87276006
Crépieux la Pape;CLP;C;45.8038348, 4.8922918;69286;87723502
Crépy - Couvron;CYU;C;49.6233401, 3.5167165;2238;87296152
Crépy-en-Valois;CYV;B;49.231235, 2.8864694;60176;87271593
Crest;CRE;C;44.7301546, 5.0160968;26108;87761783
Créteil Pompadour;CTP;B;48.7715403, 2.4352763;94028;87608802
Croix - Wasquehal;CRW;C;50.6785574, 3.1380315;59646;87286716
Croix du Prince;XDP;C;43.2857104, -0.3791261;64445;87672600
Croix L'Allumette;CIX;C;50.6872009, 3.1516591;59163;87281055
Croix Sainte;XST;C;43.4088317, 5.0196445;13056;87753491
Cros de Cagnes;CKG;B;43.660465, 7.167111;6027;87756338
Crouy;CRU;C;49.4037093, 3.3569138;2243;87271874
Crouy-sur-Ourcq;CQQ;B;49.091821, 3.063081;77148;87116640
Cubzac-les-Ponts;KBZ;C;44.9729407, -0.4590937;33143;87491266
Cuers - Pierrefeu;CFU;C;43.2364281, 6.0856855;83049;87755355
Cugand;KUG;C;47.0582602, -1.253301;85076;87481457
Cuinchy;CUH;C;50.5219693, 2.7473533;62262;87342410
Culmont - Chalindrey;CYN;C;47.8100902, 5.4432217;52155;87142125
Culoz;CUZ;B;45.843264, 5.778784;1138;87741074
Dachstein;DCN;C;48.5428546, 7.5330038;67300;87214551
Dambach-la-Ville;DMB;C;48.3216345, 7.4355565;67084;87214213
Damiatte - Saint-Paul;DSP;C;43.6566194, 1.9733585;81078;87615484
Dammartin - Juilly - Saint-Mard;DAM;B;49.03219, 2.69887;77420;87271536
Dangé-Saint-Romain;DGE;C;46.9378397, 0.6087754;86092;87575126
Danjoutin;DGI;C;47.6175, 6.86919;90010;87700146
Dannemarie;DAN;C;47.6275771, 7.124907;68068;87182253
Dannemarie - Velesmes;DNV;C;47.2038599, 5.8738348;25195;87718312
Dannes - Camiers;DCQ;C;50.5759062, 1.614825;62201;87317081
Daours;DAO;C;49.899267, 2.4590533;80036;87315044
Dardilly Le Jubin;DDJ;C;45.815143, 4.7613451;69072;87721449
Dardilly Les Mouilles;DDY;C;45.7967409, 4.7600288;69072;87721480
Darsac;DAR;C;45.14211, 3.7365537;43259;87734673
Dax;DAX;A;43.720472, -1.050301;40088;87673202
Decize;DZE;C;46.837362, 3.467274;58095;87696484
Dégagnac;DEG;C;44.6534974, 1.3400861;46087;87613174
Delle;DEL;C;47.50593, 7.00962;90033;87184440
Deluz;DLZ;C;47.2925132, 6.199733;25197;87718429
Denain;DEN;C;50.3345415, 3.388699;59172;87343459
Dettwiller;DEE;B;48.7518969, 7.4652459;67089;87212183
Deuil - Montmagny;DEU;B;48.97589, 2.33785;95197;87276345
Deville;DVI;C;49.8796028, 4.7072062;8139;87172064
Die;DIE;C;44.7582549, 5.3632053;26113;87761841
Diemeringen;DRI;C;48.9405, 7.18529;67095;87215665
Dieppe;DEV;B;49.921788, 1.081133;76217;87415018
Dieulouard;DID;C;48.843367, 6.071489;54157;87141812
Dieupentale;DIP;C;43.8654687, 1.2760011;82048;87611681
Digoin;DIG;C;46.4851604, 3.9876537;71176;87694695
Dijon;DJV;A;47.32337, 5.027208;21231;87713040
Dijon Porte Neuve;DJP;C;47.322806, 5.054872;21231;87713008
Dinan;DIN;C;48.456764, -2.053542;22050;87478164
Dingé;DNE;C;48.3507382, -1.6859729;35094;87478040
Dirinon;DIR;C;48.3926343, -4.2855034;29140;87474015
Dissay;DIF;C;46.703544, 0.4210161;86095;87575191
Dives-sur-Mer - Cabourg;DVQ;C;49.2864776, -0.1074996;14225;87444414
Dives-sur-Mer Port Guillaume;DSU;C;49.2910882, -0.1008455;14225;87337378
Dol-de-Bretagne;DOL;B;48.54425, -1.750536;35095;87478073
Dole;DLE;B;47.096084, 5.488105;39198;87713412
Dombasle-sur-Meurthe;DBS;B;48.623275, 6.343478;54159;87141119
Domblans - Voiteur;DBV;C;46.7627809, 5.5977462;39199;87718213
Domfront-en-Champagne;DFO;C;48.1076766, 0.0262592;72119;87396200
Dommartin - Lissieu;DLU;C;45.8397811, 4.7344831;69076;87721738
Dommartin - Remiencourt;DMM;C;49.7996523, 2.3926625;80246;87316109
Domont;DMO;B;49.03268, 2.33746;95199;87276436
Dompierre Sept Fons;DOP;C;46.5263166, 3.6749309;3102;87696427
Dompierre-sur-Helpe;DMR;C;50.146144, 3.871144;59177;87295774
Don - Sainghin;DON;B;50.55176, 2.91458;59524;87286435
Donchery;DEY;C;49.6981267, 4.8747529;8142;87172239
Donges;DNG;C;47.3151, -2.07236;44052;87481721
Donjeux;DNJ;C;48.3658544, 5.1482245;52175;87142273
Donzère;DOE;C;44.4433646, 4.7046262;26116;87764290
Dordives;DDI;C;48.1471796, 2.7628787;45127;87684233
Dorlisheim;DHM;C;48.5249915, 7.4930546;67101;87214338
Dormans;DOR;C;49.0791611, 3.641709;51217;87171512
Douai;DOI;B;50.371677, 3.089986;59178;87345009
Dourdan;DHY;B;48.533466, 2.009643;91200;87545525
Dourdan La Forêt;DAQ;B;48.535314, 1.994908;91200;87540179
Dourges;DOU;B;50.43192, 2.98697;62274;87345165
Drancy;DRN;B;48.93298, 2.45497;93029;87271403
Drap - Cantaron;DRA;C;43.7599599, 7.3168739;6031;87756775
Drefféac;DRF;C;47.4817568, -2.0503661;44053;87476770
Dreuil-lès-Amiens;DAS;C;49.91444, 2.23091;80256;87316075
Dreux;DRX;B;48.7314561, 1.3701604;28134;87393488
Drusenheim;DRS;C;48.7659128, 7.9478463;67106;87212357
Druye;DRY;C;47.3070191, 0.5354805;37099;87571612
Dugny - La Courneuve T11;DLC;B;48.9439, 2.4115;93027;87697342
Dunkerque;DKQ;B;51.03047, 2.368961;59183;87281006
Duppigheim;DUP;C;48.5439674, 7.5868091;67108;87214536
Durtol - Nohanent;DUR;C;45.7947707, 3.048557;63141;87641449
Duttlenheim;DTM;B;48.5453531, 7.5661529;67080;87214544
Ebblinghem;EBB;C;50.7306459, 2.409148;59184;87281469
Ebersheim;EBH;C;48.3099953, 7.494471;67115;87214106
Échirolles;EHR;B;45.153022, 5.718943;38151;87725895
École-Valentin;ECV;C;47.2749834, 5.9944745;25212;87710731
Écommoy;ECO;C;47.8246286, 0.2691867;72124;87396564
Écouen - Ézanville;ECZ;B;49.02273, 2.36325;95229;87276394
Ecully - Tassin;ECY;B;45.7657162, 4.7795238;69244;87721506
Égletons;EGL;C;45.4023816, 2.0651243;19073;87594168
Égly;ELY;B;48.582364, 2.222138;91207;87545475
Éguzon-Chantôme;EGU;C;46.4397694, 1.5521707;36070;87597153
Eichhoffen;ECF;C;48.3824829, 7.4495524;67120;87214239
Einvaux;EIN;C;48.5034859, 6.3932959;54175;87141200
Elbeuf - Saint-Aubin;ESA;B;49.302766, 1.00993;76561;87411173
Elne;ELN;C;42.5971138, 2.9635851;66065;87784207
Éloyes;ELS;C;48.087067, 6.6001593;88158;87144436
Embrun;EMB;C;44.567008, 6.496773;5046;87763466
Émerainville - Pontault-Combault;EMR;B;48.806034, 2.618004;77169;87116046
Enghien-les-Bains;ENK;B;48.97309, 2.30699;95210;87276022
Ennevelin;ENN;C;50.5492981, 3.1586612;59197;87287276
Entraigues-sur-la-Sorgue;ENR;C;44.0054278, 4.9226971;84043;87765826
Entzheim Aéroport;ENZ;B;48.54699, 7.62794;67124;87214528
Épanvilliers;EPI;C;46.2254951, 0.2357576;86029;87575357
Épernay;EPR;B;49.046289, 3.959798;51230;87171553
Épernon;EPN;B;48.6052471, 1.6812578;28140;87394114
Epfig;EFG;C;48.3637643, 7.4504053;67125;87214221
Épierre - Saint-Léger;MEE;C;45.457027, 6.292521;73109;87741280
Épinal;ELP;B;48.178005, 6.441787;88160;87144006
Épinay - Villetaneuse;EPV;B;48.95838, 2.32865;93031;87271122
Épinay - Villetaneuse T11;EPY;B;;93031;87697300
Épinay-sur-Orge;EYO;B;48.66952, 2.33182;91216;87545228
Épinay-sur-Seine;EYS;B;48.9542084, 2.3026142;93031;87271148
Épinay-sur-Seine T11;EPS;B;;93031;87697292
Épluches;EPL;C;49.0549329, 2.1225973;95572;87276147
Épône - Mézières;EPO;B;48.9631225, 1.8085932;78217;87386763
Éragny - Neuville;ERA;B;49.01824, 2.09104;95218;87381418
Erdre Active;ERD;C;47.282902, -1.544552;44035;87590356
Ermont - Eaubonne;ERT;B;48.98032, 2.27176;95219;87276055
Ermont – Eaubonne 2;ERT;B;48.98032, 2.27176;95219;87534131
Ermont Halte;ERM;B;48.9898, 2.26323;95219;87276584
Erstein;EEN;B;48.4229857, 7.6387869;67130;87214148
Esbly;EYA;B;48.90314191, 2.81059946;77171;87116327
Escalquens;EQA;C;43.5170958, 1.5422774;31169;87611707
Escaudœuvres;EDV;C;50.1918249, 3.2754949;59206;87345496
Esches;ESC;C;49.2125205, 2.1708125;60218;87272096
Esquelbecq;ESQ;B;50.8894369, 2.4121536;59210;87281113
Essonnes Robinson;ESO;B;48.606095, 2.463701;91174;87681601
Estrées-Saint-Denis;ESD;C;49.4382161, 2.642402;60223;87313387
Estressin;ESN;C;45.540285, 4.868273;38544;87722579
Esvres sur Indre;ESV;C;47.2841016, 0.7816519;37104;87571422
Étain;ETM;C;49.2074907, 5.6398079;55181;87175794
Étainhus - Saint-Romain;EAH;C;49.5612151, 0.3310234;76250;87413328
Étalans;EAS;C;47.155884, 6.2706173;25222;87718536
Étampes;ETP;B;48.436661, 2.159468;91223;87545137
Étang-sur-Arroux;ETG;C;46.8679082, 4.1838415;71192;87694141
Étaples - Le Touquet;ETA;B;50.51686, 1.64231;62318;87317065
Étigny - Véron;EYV;C;48.1386835, 3.2904186;89160;87683201
Étival-Clairefontaine;ETL;C;48.3671987, 6.8769607;88165;87144642
Étréchy;ETY;B;48.493727, 2.194323;91226;87545145
Étriché - Châteauneuf;EEF;C;47.6567082, -0.4608993;49132;87484154
Eu;EUW;C;50.0541988, 1.416837;76255;87317537
Évian-les-Bains;EVI;B;46.397915, 6.577457;74119;87745679
Évreux Normandie;EVX;A;49.018748, 1.149629;27229;87387001
Évron;EVN;B;48.155501, -0.397338;53097;87478552
Évry Val de Seine;EVR;B;48.63442, 2.45209;91228;87681361
Évry-Courcouronnes;EVC;B;48.625507, 2.428581;91228;87681387
Eymoutiers Vassivière;EYM;C;45.7397876, 1.7412237;87064;87592121
Èze;EZZ;C;43.7221842, 7.3568031;6059;87756387
Farbus;FAU;C;50.357641, 2.8310408;62324;87342527
Farébersviller;FBR;C;49.1181603, 6.8618926;57207;87193516
Faremoutiers - Pommeuse;FMP;B;48.808494, 2.993109;77371;87116277
Farschviller;FWR;C;49.0878773, 6.9080815;57208;87193524
Faubourg d'Orléans;FBL;B;47.3669948, 1.7403794;41194;87576173
Faulquemont;FAQ;B;49.0453391, 6.6039774;57209;87193359
Fécamp;FEC;B;49.759277, 0.375287;76259;87413542
